crossing time (s)	slope (V/s)	crossing number
5533.749687	156.190975	4590
5534.827655	153.448120	4591
5535.802567	161.754909	4592
5536.835423	150.647797	4593
5537.826785	157.574912	4594
5538.832000	150.698044	4595
5539.863744	150.479272	4596
5540.859685	157.748061	4597
5541.905860	158.256274	4598
5542.904191	150.749524	4599
5543.896633	158.573629	4600
5544.943643	156.437473	4601
5545.932460	156.487137	4602
5546.941580	155.468109	4603
5547.966397	160.630022	4604
5548.985354	153.109368	4605
5549.989989	158.653778	4606
5551.000022	157.415899	4607
5552.013838	157.359264	4608
5553.032822	158.421992	4609
5554.055637	150.607660	4610
5555.026372	150.159729	4611
5556.069606	157.366937	4612
5557.057685	150.375916	4613
5558.068336	157.747085	4614
5559.093321	150.110814	4615
5560.103701	154.682519	4616
5561.147298	157.264593	4617
5562.163086	149.841056	4618
5563.169135	157.917244	4619
5564.166825	150.185292	4620
5565.160107	150.346842	4621
5566.186989	157.736156	4622
5567.204499	157.766129	4623
5568.200974	157.747970	4624
5569.237834	150.545892	4625
5570.253797	152.431536	4626
5571.261510	160.012288	4627
5572.275718	150.669476	4628
5573.251624	155.660759	4629
5574.323910	154.745292	4630
5575.278201	154.236411	4631
5576.313246	148.333915	4632
5577.332586	147.387640	4633
5578.363564	154.556692	4634
5579.387593	152.619310	4635
5580.365166	152.533928	4636
5581.384307	158.507641	4637
5582.384152	158.094985	4638
5583.406390	149.508206	4639
5584.424467	149.710470	4640
5585.426995	157.374226	4641
5586.462818	149.250259	4642
5587.442074	149.386385	4643
5588.453090	148.988226	4644
5589.478939	156.842355	4645
5590.480853	149.468359	4646
5591.500191	156.805825	4647
5592.502661	156.707165	4648
5593.541884	156.416877	4649
5594.538267	152.867111	4650
5595.541693	154.391702	4651
5596.578381	159.424060	4652
5597.575358	158.134074	4653
5598.615545	156.348751	4654
5599.616189	156.389287	4655
5600.640960	156.086218	4656
5601.636276	156.065978	4657
5602.668248	155.776829	4658
5603.650547	149.475679	4659
5604.681494	148.970409	4660
5605.682755	149.417639	4661
5606.712070	156.358884	4662
5607.704664	149.131474	4663
5608.729484	149.006724	4664
5609.722854	156.229947	4665
5610.739886	148.525394	4666
5611.772039	147.964007	4667
5612.769886	150.820243	4668
5613.794371	154.405353	4669
5614.798519	146.180555	4670
5615.835457	151.434340	4671
5616.844004	155.254212	4672
5617.843179	148.688237	4673
5618.869668	156.258234	4674
5619.842482	148.743215	4675
5620.874888	155.522208	4676
5621.889837	148.956104	4677
5622.896707	156.032928	4678
5623.931212	155.359101	4679
5624.916550	155.452227	4680
5625.961440	155.669167	4681
5626.954715	148.148785	4682
5627.981169	155.829488	4683
5628.972945	148.373923	4684
5630.006513	155.828077	4685
5630.985527	148.248052	4686
5632.014717	148.864898	4687
5633.016838	148.343205	4688
5634.036970	154.887459	4689
5635.040106	155.406857	4690
5636.081449	148.698954	4691
5637.094624	151.554557	4692
5638.103059	146.866552	4693
5639.110136	154.495399	4694
5640.116052	155.658187	4695
5641.117039	148.209916	4696
5642.151715	155.199754	4697
5643.170651	147.505745	4698
5644.156362	154.890892	4699
5645.181270	154.608612	4700
5646.225045	151.386398	4701
5647.202294	151.619807	4702
5648.228610	150.647562	4703
5649.247326	147.736212	4704
5650.260915	154.952885	4705
5651.273577	147.542946	4706
5652.251014	147.876770	4707
5653.289608	147.878021	4708
5654.302520	147.440510	4709
5655.302190	149.301752	4710
5656.309012	150.086914	4711
5657.327163	157.545158	4712
5658.351656	157.526003	4713
5659.330425	149.882737	4714
