time (s)	det(V)
3159.673707	-0.001989	
3159.675195	-0.001510	
3159.676726	-0.000954	
3159.678230	-0.000474	
3159.679781	0.000251	
3159.681258	0.000899	
3159.682795	0.001209	
3159.684277	0.001810	
3159.685811	0.002237	
3159.687321	0.003018	
3159.688836	0.003433	
3159.690353	0.003630	
3159.691832	0.004364	
3159.693365	0.005008	
3159.694881	0.005298	
3159.696431	0.006064	
3159.697911	0.006918	
3159.699470	0.007542	
3159.700952	0.008243	
3159.702495	0.008654	
3159.703980	0.009202	
3159.705509	0.009939	
3159.706999	0.010044	
3159.708520	0.010865	
3159.710019	0.011083	
3159.711542	0.011780	
3159.713058	0.012666	
3159.714550	0.013286	
3159.716097	0.013883	
3159.717588	0.014036	
3159.719131	0.014870	
3159.720622	0.014922	
3159.722146	0.015494	
3159.723654	0.015526	
3159.725176	0.016102	
3159.726684	0.016163	
3159.728198	0.016823	
3159.729728	0.017464	
3159.731210	0.017919	
3159.732760	0.018350	
3159.734241	0.018370	
3159.735778	0.018777	
3159.737267	0.018471	
3159.738810	0.019325	
3159.740298	0.018616	
3159.741848	0.019031	
3159.743336	0.019131	
3159.744875	0.019405	
3159.746380	0.019462	
3159.747891	0.019244	
3159.749406	0.019985	
3159.750891	0.019712	
3159.752435	0.020070	
3159.753924	0.019438	
3159.755464	0.019844	
3159.756954	0.018982	
3159.758487	0.019333	
3159.759981	0.019349	
3159.761493	0.018966	
3159.763020	0.019393	
3159.764539	0.019325	
3159.766062	0.019836	
3159.767546	0.019647	
3159.769096	0.019446	
3159.770585	0.019071	
3159.772122	0.019796	
3159.773604	0.019208	
3159.775151	0.019446	
3159.776637	0.019349	
3159.778180	0.019470	
3159.779700	0.019941	
3159.781230	0.020147	
3159.782739	0.020497	
3159.784226	0.020682	
3159.785762	0.020952	
3159.787260	0.020783	
3159.788811	0.021637	
3159.790298	0.021250	
3159.791838	0.021996	
3159.793331	0.022100	
3159.794869	0.022684	
3159.796370	0.023313	
3159.797899	0.024388	
3159.799417	0.024952	
3159.800898	0.025206	
3159.802437	0.026177	
3159.803927	0.026415	
3159.805468	0.027482	
3159.806953	0.027756	
3159.808488	0.028360	
3159.809985	0.029206	
3159.811507	0.029960	
3159.813016	0.031192	
3159.814528	0.032542	
3159.816044	0.033170	
3159.817522	0.033984	
3159.819070	0.036921	
3159.820561	0.037601	
3159.822108	0.039462	
3159.823595	0.040220	
3159.825132	0.041150	
3159.826620	0.041311	
3159.828166	0.042907	
3159.829677	0.043877	
3159.831207	0.045332	
3159.832723	0.046593	
3159.834206	0.047600	
3159.835746	0.049187	
3159.837239	0.049618	
3159.838771	0.050480	
3159.840259	0.051660	
3159.841799	0.052011	
3159.843292	0.053513	
3159.844814	0.054593	
3159.846335	0.055350	
3159.847853	0.056820	
3159.849373	0.058005	
3159.850853	0.059278	
3159.852397	0.060313	
3159.853883	0.060639	
3159.855419	0.062367	
3159.856909	0.062520	
3159.858453	0.063564	
3159.859944	0.064643	
3159.861473	0.065602	
3159.862983	0.066754	
3159.864509	0.068011	
3159.866025	0.068333	
3159.867511	0.069139	
